# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Standard Edition
# File: G:\WORK_SPACE\Verilog_HDL_CODE\csv.csv
# Generated on: Wed Jan 31 15:02:31 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
E_DATA0,Input,PIN_H2,1,B1_N0,PIN_H2,2.5 V,,,,,
E_DCLK,Output,PIN_H1,1,B1_N0,PIN_H1,2.5 V,,,,,
E_SCE,Output,PIN_D2,1,B1_N0,PIN_D2,2.5 V,,,,,
E_SDO,Output,PIN_C1,1,B1_N0,PIN_C1,2.5 V,,,,,
KEY_1,Input,PIN_B1,1,B1_N0,PIN_B1,2.5 V,,,,,
KEY_2,Input,PIN_A2,8,B8_N0,PIN_A2,2.5 V,,,,,
KEY_3,Input,PIN_M1,2,B2_N0,PIN_M1,2.5 V,,,,,
LED[7],Output,PIN_J1,2,B2_N0,PIN_J1,2.5 V,,,,,
LED[6],Output,PIN_L3,2,B2_N0,PIN_L3,2.5 V,,,,,
LED[5],Output,PIN_C2,1,B1_N0,PIN_C2,2.5 V,,,,,
LED[4],Output,PIN_D1,1,B1_N0,PIN_D1,2.5 V,,,,,
LED[3],Output,PIN_F2,1,B1_N0,PIN_F2,2.5 V,,,,,
LED[2],Output,PIN_F1,1,B1_N0,PIN_F1,2.5 V,,,,,
LED[1],Output,PIN_G2,1,B1_N0,PIN_G2,2.5 V,,,,,
LED[0],Output,PIN_G1,1,B1_N0,PIN_G1,2.5 V,,,,,
PS2_CLK,Output,PIN_M10,4,B4_N0,PIN_M10,2.5 V,,,,,
PS2_DATA,Bidir,PIN_N9,4,B4_N0,PIN_N9,2.5 V,,,,,
SD_CLK,Output,PIN_M8,3,B3_N0,PIN_M8,2.5 V,,,,,
SD_CMD,Output,PIN_R1,2,B2_N0,PIN_R1,2.5 V,,,,,
SD_DATA0,Input,PIN_P2,2,B2_N0,PIN_P2,2.5 V,,,,,
SD_DATA3,Output,PIN_T2,3,B3_N0,PIN_T2,2.5 V,,,,,
S_ADDR[12],Output,PIN_G16,6,B6_N0,PIN_G16,2.5 V,,,,,
S_ADDR[11],Output,PIN_J16,5,B5_N0,PIN_J16,2.5 V,,,,,
S_ADDR[10],Output,PIN_C16,6,B6_N0,PIN_C16,2.5 V,,,,,
S_ADDR[9],Output,PIN_J15,5,B5_N0,PIN_J15,2.5 V,,,,,
S_ADDR[8],Output,PIN_K16,5,B5_N0,PIN_K16,2.5 V,,,,,
S_ADDR[7],Output,PIN_K15,5,B5_N0,PIN_K15,2.5 V,,,,,
S_ADDR[6],Output,PIN_L16,5,B5_N0,PIN_L16,2.5 V,,,,,
S_ADDR[5],Output,PIN_L15,5,B5_N0,PIN_L15,2.5 V,,,,,
S_ADDR[4],Output,PIN_N16,5,B5_N0,PIN_N16,2.5 V,,,,,
S_ADDR[3],Output,PIN_F16,6,B6_N0,PIN_F16,2.5 V,,,,,
S_ADDR[2],Output,PIN_F15,6,B6_N0,PIN_F15,2.5 V,,,,,
S_ADDR[1],Output,PIN_D16,6,B6_N0,PIN_D16,2.5 V,,,,,
S_ADDR[0],Output,PIN_D15,6,B6_N0,PIN_D15,2.5 V,,,,,
S_BA[1],Output,PIN_C15,6,B6_N0,PIN_C15,2.5 V,,,,,
S_BA[0],Output,PIN_B16,6,B6_N0,PIN_B16,2.5 V,,,,,
S_CAS_N,Output,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
S_CKE,Output,PIN_N15,5,B5_N0,PIN_N15,2.5 V,,,,,
S_CLK,Output,PIN_R4,3,B3_N0,PIN_R4,2.5 V,,,,,
S_CS_N,Output,PIN_A15,7,B7_N0,PIN_A15,2.5 V,,,,,
S_DQ[15],Bidir,PIN_A3,8,B8_N0,PIN_A3,2.5 V,,,,,
S_DQ[14],Bidir,PIN_B4,8,B8_N0,PIN_B4,2.5 V,,,,,
S_DQ[13],Bidir,PIN_A4,8,B8_N0,PIN_A4,2.5 V,,,,,
S_DQ[12],Bidir,PIN_B5,8,B8_N0,PIN_B5,2.5 V,,,,,
S_DQ[11],Bidir,PIN_A5,8,B8_N0,PIN_A5,2.5 V,,,,,
S_DQ[10],Bidir,PIN_B6,8,B8_N0,PIN_B6,2.5 V,,,,,
S_DQ[9],Bidir,PIN_A6,8,B8_N0,PIN_A6,2.5 V,,,,,
S_DQ[8],Bidir,PIN_B7,8,B8_N0,PIN_B7,2.5 V,,,,,
S_DQ[7],Bidir,PIN_B13,7,B7_N0,PIN_B13,2.5 V,,,,,
S_DQ[6],Bidir,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
S_DQ[5],Bidir,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
S_DQ[4],Bidir,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
S_DQ[3],Bidir,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
S_DQ[2],Bidir,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
S_DQ[1],Bidir,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
S_DQ[0],Bidir,PIN_A7,8,B8_N0,PIN_A7,2.5 V,,,,,
S_DQM[1],Output,PIN_G15,6,B6_N0,PIN_G15,2.5 V,,,,,
S_DQM[0],Output,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
S_RAS_N,Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
S_WE_N,Output,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
UART_RX,Input,PIN_F11,7,B7_N0,PIN_F11,2.5 V,,,,,
UART_TX,Output,PIN_G11,6,B6_N0,PIN_G11,2.5 V,,,,,
USB_FD[15],Output,PIN_F14,6,B6_N0,PIN_F14,2.5 V,,,,,
USB_FD[14],Output,PIN_F13,6,B6_N0,PIN_F13,2.5 V,,,,,
USB_FD[13],Output,PIN_E11,7,B7_N0,PIN_E11,2.5 V,,,,,
USB_FD[12],Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
USB_FD[11],Output,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
USB_FD[10],Output,PIN_E10,7,B7_N0,PIN_E10,2.5 V,,,,,
USB_FD[9],Output,PIN_D11,7,B7_N0,PIN_D11,2.5 V,,,,,
USB_FD[8],Output,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
USB_FD[7],Output,PIN_E7,8,B8_N0,PIN_E7,2.5 V,,,,,
USB_FD[6],Output,PIN_C6,8,B8_N0,PIN_C6,2.5 V,,,,,
USB_FD[5],Output,PIN_D6,8,B8_N0,PIN_D6,2.5 V,,,,,
USB_FD[4],Output,PIN_D5,8,B8_N0,PIN_D5,2.5 V,,,,,
USB_FD[3],Output,PIN_E6,8,B8_N0,PIN_E6,2.5 V,,,,,
USB_FD[2],Output,PIN_C3,8,B8_N0,PIN_C3,2.5 V,,,,,
USB_FD[1],Output,PIN_D4,1,B1_N0,PIN_D4,2.5 V,,,,,
USB_FD[0],Output,PIN_D3,8,B8_N0,PIN_D3,2.5 V,,,,,
USB_FLAGA,Output,PIN_F8,8,B8_N0,PIN_F8,2.5 V,,,,,
USB_FLAGB,Output,PIN_D8,8,B8_N0,PIN_D8,2.5 V,,,,,
USB_PKTADR0,Output,PIN_F9,7,B7_N0,PIN_F9,2.5 V,,,,,
USB_PKTADR1,Output,PIN_C9,7,B7_N0,PIN_C9,2.5 V,,,,,
USB_SLRD,Output,PIN_K6,2,B2_N0,PIN_K6,2.5 V,,,,,
USB_SLWR,Output,PIN_G5,1,B1_N0,PIN_G5,2.5 V,,,,,
VGA_B[7],Output,PIN_M12,5,B5_N0,PIN_M12,2.5 V,,,,,
VGA_B[6],Output,PIN_K11,5,B5_N0,PIN_K11,2.5 V,,,,,
